image_path,card_name,card_number,card_set
dataset/SWSH Black Star Promos/SWSH Black Star Promos_Arcanine_SWSH304.jpg,Arcanine,SWSH304,SWSH Black Star Promos
dataset/Paldea Evolved/Paldea Evolved_Copperajah ex_245.jpg,Copperajah ex,245,Paldea Evolved
dataset/SWSH Black Star Promos/SWSH Black Star Promos_Galarian Articuno_SWSH282.jpg,Galarian Articuno,SWSH282,SWSH Black Star Promos
dataset/Paldea Evolved/Paldea Evolved_Raichu_211.jpg,Raichu,211,Paldea Evolved
dataset/SWSH Black Star Promos/SWSH Black Star Promos_Galarian Zapdos_SWSH283.jpg,Galarian Zapdos,SWSH283,SWSH Black Star Promos
dataset/Paldea Evolved/Paldea Evolved_Rabsca_215.jpg,Rabsca,215,Paldea Evolved
dataset/Paldea Evolved/Paldea Evolved_Skeledirge ex_258.jpg,Skeledirge ex,258,Paldea Evolved
dataset/Obsidian Flames/Obsidian Flames_Dolliv_20.jpg,Dolliv,20,Obsidian Flames
dataset/Paldea Evolved/Paldea Evolved_Chi-Yu ex_234.jpg,Chi-Yu ex,234,Paldea Evolved
dataset/Obsidian Flames/Obsidian Flames_Numel_31.jpg,Numel,31,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Entei_30.jpg,Entei,30,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Ninetales_29.jpg,Ninetales,29,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Vulpix_28.jpg,Vulpix,28,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Charmeleon_27.jpg,Charmeleon,27,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Charmander_26.jpg,Charmander,26,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Scovillain_25.jpg,Scovillain,25,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Capsakid_24.jpg,Capsakid,24,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Capsakid_23.jpg,Capsakid,23,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Toedscruel ex_22.jpg,Toedscruel ex,22,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Arboliva_21.jpg,Arboliva,21,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Camerupt_32.jpg,Camerupt,32,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Darmanitan_35.jpg,Darmanitan,35,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Litwick_36.jpg,Litwick,36,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Darumaka_34.jpg,Darumaka,34,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Victini ex_33.jpg,Victini ex,33,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lampent_37.jpg,Lampent,37,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Heatmor_39.jpg,Heatmor,39,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Volcarona_41.jpg,Volcarona,41,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Larvesta_40.jpg,Larvesta,40,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Charcadet_43.jpg,Charcadet,43,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lapras_45.jpg,Lapras,45,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Armarouge_44.jpg,Armarouge,44,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Eiscue ex_42.jpg,Eiscue ex,42,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Seismitoad_52.jpg,Seismitoad,52,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Palpitoad_51.jpg,Palpitoad,51,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Tympole_50.jpg,Tympole,50,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Carvanha_46.jpg,Carvanha,46,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Sharpedo_47.jpg,Sharpedo,47,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Floatzel_49.jpg,Floatzel,49,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Chandelure_38.jpg,Chandelure,38,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Buizel_48.jpg,Buizel,48,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Frogadier_57.jpg,Frogadier,57,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Froakie_56.jpg,Froakie,56,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Palafin_62.jpg,Palafin,62,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Magnemite_63.jpg,Magnemite,63,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Wugtrio_59.jpg,Wugtrio,59,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Finizen_61.jpg,Finizen,61,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Magneton_64.jpg,Magneton,64,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Beartic_54.jpg,Beartic,54,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Cubchoo_53.jpg,Cubchoo,53,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Cryogonal_55.jpg,Cryogonal,55,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Wiglett_58.jpg,Wiglett,58,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Magnezone_65.jpg,Magnezone,65,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Finizen_60.jpg,Finizen,60,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Tynamo_67.jpg,Tynamo,67,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Tyranitar ex_66.jpg,Tyranitar ex,66,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Eelektrik_68.jpg,Eelektrik,68,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Eelektross_69.jpg,Eelektross,69,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Thundurus_70.jpg,Thundurus,70,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bellibolt_77.jpg,Bellibolt,77,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Crabrawler_114.jpg,Crabrawler,114,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Kangaskhan_165.jpg,Kangaskhan,165,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Houndour_132.jpg,Houndour,132,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bisharp_149.jpg,Bisharp,149,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Dugtrio_104.jpg,Dugtrio,104,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Varoom_154.jpg,Varoom,154,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Meltan_152.jpg,Meltan,152,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Sinistea_97.jpg,Sinistea,97,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Clefable ex_82.jpg,Clefable ex,82,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Togekiss_85.jpg,Togekiss,85,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Zigzagoon_167.jpg,Zigzagoon,167,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Salandit_139.jpg,Salandit,139,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Diglett_103.jpg,Diglett,103,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Tadbulb_76.jpg,Tadbulb,76,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Houndour_131.jpg,Houndour,131,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Nosepass_107.jpg,Nosepass,107,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Whiscash_109.jpg,Whiscash,109,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Varoom_155.jpg,Varoom,155,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Glimmet_121.jpg,Glimmet,121,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Scizor_141.jpg,Scizor,141,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Absol ex_135.jpg,Absol ex,135,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Drilbur_111.jpg,Drilbur,111,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Paldean Clodsire_129.jpg,Paldean Clodsire,129,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Dratini_157.jpg,Dratini,157,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Paldean Wooper_127.jpg,Paldean Wooper,127,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Skarmory_142.jpg,Skarmory,142,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Houndoom_133.jpg,Houndoom,133,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Koraidon ex_124.jpg,Koraidon ex,124,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pawniard_148.jpg,Pawniard,148,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lycanroc_117.jpg,Lycanroc,117,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Crabominable_115.jpg,Crabominable,115,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bronzong_145.jpg,Bronzong,145,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Diggersby_113.jpg,Diggersby,113,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Larvitar_105.jpg,Larvitar,105,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Probopass_146.jpg,Probopass,146,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Polteageist_98.jpg,Polteageist,98,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Toedscruel_119.jpg,Toedscruel,119,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Dragonite ex_159.jpg,Dragonite ex,159,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Melmetal ex_153.jpg,Melmetal ex,153,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Claydol_95.jpg,Claydol,95,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pidgey_162.jpg,Pidgey,162,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Granbull_88.jpg,Granbull,88,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Mawile_89.jpg,Mawile,89,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Houndstone_101.jpg,Houndstone,101,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Eevee_166.jpg,Eevee,166,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Dragonair_158.jpg,Dragonair,158,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Miraidon ex_79.jpg,Miraidon ex,79,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Swablu_169.jpg,Swablu,169,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Togedemaru_151.jpg,Togedemaru,151,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Toxel_71.jpg,Toxel,71,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Tadbulb_75.jpg,Tadbulb,75,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Charizard ex_125.jpg,Charizard ex,125,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Togetic_84.jpg,Togetic,84,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Baltoy_94.jpg,Baltoy,94,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Greavard_99.jpg,Greavard,99,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Excadrill_147.jpg,Excadrill,147,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Revavroom ex_156.jpg,Revavroom ex,156,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Cleffa_80.jpg,Cleffa,80,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Paldean Clodsire_128.jpg,Paldean Clodsire,128,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Kingambit_150.jpg,Kingambit,150,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Inkay_137.jpg,Inkay,137,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Vespiquen ex_96.jpg,Vespiquen ex,96,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bellibolt_78.jpg,Bellibolt,78,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bronzor_144.jpg,Bronzor,144,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Espeon_86.jpg,Espeon,86,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Drampa_161.jpg,Drampa,161,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Tadbulb_74.jpg,Tadbulb,74,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Malamar_138.jpg,Malamar,138,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Togepi_83.jpg,Togepi,83,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Clefairy_81.jpg,Clefairy,81,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Snubbull_87.jpg,Snubbull,87,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Toxtricity_72.jpg,Toxtricity,72,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Mawile_143.jpg,Mawile,143,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Glimmora ex_123.jpg,Glimmora ex,123,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Solrock_93.jpg,Solrock,93,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pawmot ex_73.jpg,Pawmot ex,73,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Salazzle_140.jpg,Salazzle,140,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Grumpig_91.jpg,Grumpig,91,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Greavard_100.jpg,Greavard,100,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bonsly_110.jpg,Bonsly,110,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pupitar_106.jpg,Pupitar,106,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Barboach_108.jpg,Barboach,108,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Spoink_90.jpg,Spoink,90,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Rockruff_116.jpg,Rockruff,116,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Linoone_168.jpg,Linoone,168,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Stunfisk_112.jpg,Stunfisk,112,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lunatone_92.jpg,Lunatone,92,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Glimmet_122.jpg,Glimmet,122,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pidgeot ex_164.jpg,Pidgeot ex,164,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Umbreon_130.jpg,Umbreon,130,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Houndstone ex_102.jpg,Houndstone ex,102,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pidgeotto_163.jpg,Pidgeotto,163,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Klawf ex_120.jpg,Klawf ex,120,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Darkrai_136.jpg,Darkrai,136,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Paldean Wooper_126.jpg,Paldean Wooper,126,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Houndoom ex_134.jpg,Houndoom ex,134,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Altaria_160.jpg,Altaria,160,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Toedscool_118.jpg,Toedscool,118,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lillipup_170.jpg,Lillipup,170,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Herdier_171.jpg,Herdier,171,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Stoutland_172.jpg,Stoutland,172,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Audino_173.jpg,Audino,173,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bouffalant_174.jpg,Bouffalant,174,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bunnelby_175.jpg,Bunnelby,175,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Gumshoos_177.jpg,Gumshoos,177,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Yungoos_176.jpg,Yungoos,176,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lechonk_180.jpg,Lechonk,180,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Oinkologne_184.jpg,Oinkologne,184,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Oinkologne_183.jpg,Oinkologne,183,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Greedent ex_179.jpg,Greedent ex,179,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lechonk_181.jpg,Lechonk,181,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Skwovet_178.jpg,Skwovet,178,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lechonk_182.jpg,Lechonk,182,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Houndour_204.jpg,Houndour,204,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Larvitar_203.jpg,Larvitar,203,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Cleffa_202.jpg,Cleffa,202,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Palafin_200.jpg,Palafin,200,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Ninetales_199.jpg,Ninetales,199,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pidgey_207.jpg,Pidgey,207,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Flamigo_185.jpg,Flamigo,185,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Gloom_198.jpg,Gloom,198,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Bellibolt_201.jpg,Bellibolt,201,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Revavroom ex_216.jpg,Revavroom ex,216,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Charizard ex_215.jpg,Charizard ex,215,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Absol ex_214.jpg,Absol ex,214,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Glimmora ex_213.jpg,Glimmora ex,213,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Tyranitar ex_211.jpg,Tyranitar ex,211,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Vespiquen ex_212.jpg,Vespiquen ex,212,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Eiscue ex_210.jpg,Eiscue ex,210,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Lechonk_209.jpg,Lechonk,209,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pidgeotto_208.jpg,Pidgeotto,208,Obsidian Flames
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Houndstone_42.jpg,Houndstone,42,Scarlet & Violet Black Star Promos
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Pawmi_40.jpg,Pawmi,40,Scarlet & Violet Black Star Promos
dataset/Obsidian Flames/Obsidian Flames_Varoom_206.jpg,Varoom,206,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Scizor_205.jpg,Scizor,205,Obsidian Flames
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Paldean Wooper_41.jpg,Paldean Wooper,41,Scarlet & Violet Black Star Promos
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Charmander_44.jpg,Charmander,44,Scarlet & Violet Black Star Promos
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Mawile_39.jpg,Mawile,39,Scarlet & Violet Black Star Promos
dataset/Obsidian Flames/Obsidian Flames_Eiscue ex_222.jpg,Eiscue ex,222,Obsidian Flames
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Palafin_36.jpg,Palafin,36,Scarlet & Violet Black Star Promos
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Chien-Pao ex_30.jpg,Chien-Pao ex,30,Scarlet & Violet Black Star Promos
dataset/Obsidian Flames/Obsidian Flames_Charizard ex_223.jpg,Charizard ex,223,Obsidian Flames
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Annihilape ex_32.jpg,Annihilape ex,32,Scarlet & Violet Black Star Promos
dataset/Obsidian Flames/Obsidian Flames_Charizard ex_228.jpg,Charizard ex,228,Obsidian Flames
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Tinkaton ex_31.jpg,Tinkaton ex,31,Scarlet & Violet Black Star Promos
dataset/Obsidian Flames/Obsidian Flames_Revavroom ex_224.jpg,Revavroom ex,224,Obsidian Flames
dataset/Obsidian Flames/Obsidian Flames_Pidgeot ex_225.jpg,Pidgeot ex,225,Obsidian Flames
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Cleffa_37.jpg,Cleffa,37,Scarlet & Violet Black Star Promos
dataset/151/151_Arcanine_59.jpg,Arcanine,59,151
dataset/151/151_Tentacool_72.jpg,Tentacool,72,151
dataset/151/151_Sandshrew_27.jpg,Sandshrew,27,151
dataset/Obsidian Flames/Obsidian Flames_Pidgeot ex_217.jpg,Pidgeot ex,217,Obsidian Flames
dataset/151/151_Raticate_20.jpg,Raticate,20,151
dataset/151/151_Nidorino_33.jpg,Nidorino,33,151
dataset/151/151_Rapidash_78.jpg,Rapidash,78,151
dataset/151/151_Dodrio_85.jpg,Dodrio,85,151
dataset/151/151_Charizard ex_6.jpg,Charizard ex,6,151
dataset/151/151_Charmeleon_5.jpg,Charmeleon,5,151
dataset/151/151_Sandslash_28.jpg,Sandslash,28,151
dataset/151/151_Nidoran ♂_32.jpg,Nidoran ♂,32,151
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Togekiss_38.jpg,Togekiss,38,Scarlet & Violet Black Star Promos
dataset/151/151_Venomoth_49.jpg,Venomoth,49,151
dataset/151/151_Fearow_22.jpg,Fearow,22,151
dataset/151/151_Magnemite_81.jpg,Magnemite,81,151
dataset/151/151_Arbok ex_24.jpg,Arbok ex,24,151
dataset/151/151_Nidoran ♀_29.jpg,Nidoran ♀,29,151
dataset/151/151_Nidorina_30.jpg,Nidorina,30,151
dataset/151/151_Tentacruel_73.jpg,Tentacruel,73,151
dataset/151/151_Pidgeotto_17.jpg,Pidgeotto,17,151
dataset/151/151_Golem ex_76.jpg,Golem ex,76,151
dataset/151/151_Cloyster_91.jpg,Cloyster,91,151
dataset/151/151_Oddish_43.jpg,Oddish,43,151
dataset/151/151_Mankey_56.jpg,Mankey,56,151
dataset/151/151_Squirtle_7.jpg,Squirtle,7,151
dataset/151/151_Ivysaur_2.jpg,Ivysaur,2,151
dataset/151/151_Bulbasaur_1.jpg,Bulbasaur,1,151
dataset/151/151_Haunter_93.jpg,Haunter,93,151
dataset/151/151_Charmander_4.jpg,Charmander,4,151
dataset/151/151_Venusaur ex_3.jpg,Venusaur ex,3,151
dataset/151/151_Wartortle_8.jpg,Wartortle,8,151
dataset/151/151_Machamp_68.jpg,Machamp,68,151
dataset/151/151_Abra_63.jpg,Abra,63,151
dataset/151/151_Poliwrath_62.jpg,Poliwrath,62,151
dataset/151/151_Bellsprout_69.jpg,Bellsprout,69,151
dataset/151/151_Gengar_94.jpg,Gengar,94,151
dataset/151/151_Spearow_21.jpg,Spearow,21,151
dataset/151/151_Rattata_19.jpg,Rattata,19,151
dataset/151/151_Slowbro_80.jpg,Slowbro,80,151
dataset/Scarlet & Violet Black Star Promos/Scarlet & Violet Black Star Promos_Eevee_43.jpg,Eevee,43,Scarlet & Violet Black Star Promos
dataset/151/151_Primeape_57.jpg,Primeape,57,151
dataset/151/151_Golduck_55.jpg,Golduck,55,151
dataset/151/151_Farfetch'd_83.jpg,Farfetch'd,83,151
dataset/151/151_Seel_86.jpg,Seel,86,151
dataset/151/151_Paras_46.jpg,Paras,46,151
dataset/151/151_Machoke_67.jpg,Machoke,67,151
dataset/151/151_Drowzee_96.jpg,Drowzee,96,151
dataset/151/151_Dugtrio_51.jpg,Dugtrio,51,151
dataset/151/151_Golbat_42.jpg,Golbat,42,151
dataset/151/151_Blastoise ex_9.jpg,Blastoise ex,9,151
dataset/151/151_Magneton_82.jpg,Magneton,82,151
dataset/151/151_Gloom_44.jpg,Gloom,44,151
dataset/151/151_Diglett_50.jpg,Diglett,50,151
dataset/151/151_Caterpie_10.jpg,Caterpie,10,151
dataset/151/151_Weepinbell_70.jpg,Weepinbell,70,151
dataset/151/151_Vileplume_45.jpg,Vileplume,45,151
dataset/151/151_Ponyta_77.jpg,Ponyta,77,151
dataset/151/151_Metapod_11.jpg,Metapod,11,151
dataset/151/151_Beedrill_15.jpg,Beedrill,15,151
dataset/151/151_Weedle_13.jpg,Weedle,13,151
dataset/151/151_Parasect_47.jpg,Parasect,47,151
dataset/151/151_Shellder_90.jpg,Shellder,90,151
dataset/151/151_Geodude_74.jpg,Geodude,74,151
dataset/151/151_Poliwag_60.jpg,Poliwag,60,151
dataset/151/151_Victreebel_71.jpg,Victreebel,71,151
dataset/151/151_Machop_66.jpg,Machop,66,151
dataset/151/151_Grimer_88.jpg,Grimer,88,151
dataset/151/151_Hypno_97.jpg,Hypno,97,151
dataset/151/151_Nidoqueen_31.jpg,Nidoqueen,31,151
dataset/151/151_Wigglytuff ex_40.jpg,Wigglytuff ex,40,151
dataset/151/151_Growlithe_58.jpg,Growlithe,58,151
dataset/151/151_Vulpix_37.jpg,Vulpix,37,151
dataset/151/151_Butterfree_12.jpg,Butterfree,12,151
dataset/151/151_Meowth_52.jpg,Meowth,52,151
dataset/151/151_Jigglypuff_39.jpg,Jigglypuff,39,151
dataset/151/151_Poliwhirl_61.jpg,Poliwhirl,61,151
dataset/151/151_Ninetales ex_38.jpg,Ninetales ex,38,151
dataset/151/151_Psyduck_54.jpg,Psyduck,54,151
dataset/151/151_Onix_95.jpg,Onix,95,151
dataset/151/151_Clefairy_35.jpg,Clefairy,35,151
dataset/151/151_Kakuna_14.jpg,Kakuna,14,151
dataset/151/151_Kadabra_64.jpg,Kadabra,64,151
dataset/151/151_Gastly_92.jpg,Gastly,92,151
dataset/151/151_Slowpoke_79.jpg,Slowpoke,79,151
dataset/151/151_Muk_89.jpg,Muk,89,151
dataset/151/151_Clefable_36.jpg,Clefable,36,151
dataset/151/151_Venonat_48.jpg,Venonat,48,151
dataset/151/151_Zubat_41.jpg,Zubat,41,151
dataset/151/151_Persian_53.jpg,Persian,53,151
dataset/151/151_Graveler_75.jpg,Graveler,75,151
dataset/151/151_Alakazam ex_65.jpg,Alakazam ex,65,151
dataset/151/151_Pidgeot_18.jpg,Pidgeot,18,151
dataset/151/151_Dewgong_87.jpg,Dewgong,87,151
